Date,SPY,IYR,IWN,EFA,EEM,GSG,TLT,USIG,HYG,VXX,VMFXX
1/1/2001,0.044459299,0.004608375,0.02892967,-0.000471497,0.120943263,-0.053074593,-0.005427688,0.026633886,-0.056036458,-0.17989,0.005146
2/1/2001,-0.095387585,-0.013761507,-0.001008681,-0.074895039,-0.08505029,-0.0139571,0.014313346,0.008653957,-0.014175424,0.28747,0.004303
3/1/2001,-0.058571962,-0.004119569,-0.022297153,-0.06621062,-0.109471432,-0.039195131,-0.013580146,0.006152145,-0.040794389,0.01023,0.00451
4/1/2001,0.085440064,0.032292475,0.052237753,0.070136901,0.046976089,0.053704117,-0.039506207,-0.003620093,0.050981892,-0.11034,0.004066
5/1/2001,-0.005605611,0.022879998,0.026007952,-0.034500123,0.011451268,-0.028485298,0.004600477,0.009085831,-0.029322973,-0.11146,0.003926
6/1/2001,-0.026597845,0.040439842,0.030290762,-0.040522628,-0.021330129,-0.072341755,0.009702625,0.005045374,-0.077991907,-0.15813,0.00349
7/1/2001,-0.010195759,-0.017247639,-0.024216498,-0.018115252,-0.067959634,0.002394084,0.038635977,0.025448114,0.002399639,0.13431,0.003296
8/1/2001,-0.059332485,0.027067046,0.002933615,-0.025124448,-0.01012775,0.009559112,0.024467127,0.013227999,0.009451902,0.15264,0.003157
9/1/2001,-0.085063504,-0.046209343,-0.115740409,-0.096198602,-0.18332066,-0.109560043,-0.002437562,-0.001471941,-0.123045035,0.2813,0.002848
10/1/2001,0.013021836,-0.061064898,0.018775168,0.016736061,0.058396814,-0.050426475,0.085883672,0.024213095,-0.053080663,0.05105,0.002645
11/1/2001,0.077977313,0.065573838,0.070645254,0.033443621,0.094470945,-0.053706258,-0.050600069,-0.008767453,-0.056757418,-0.28963,0.002131
12/1/2001,0.002192021,0.00630517,0.049180322,0.00539375,0.073483596,-0.013256305,-0.025139556,-0.006904898,-0.013459427,-0.00168,0.001935
1/1/2002,-0.009798799,0.001127774,0.017578123,-0.05783736,0.032642901,-0.031200524,0.010269969,0.00838409,-0.032171974,-0.11387,0.001803
2/1/2002,-0.01793602,0.019777217,0.003454841,0.012010695,0.015948733,0.043681405,0.007193488,0.007497267,0.041825761,0.02371,0.001465
3/1/2002,0.030319344,0.045783671,0.070390091,0.05582392,0.056462227,0.134817882,-0.051796626,-0.018817428,0.118810964,-0.19407,0.001446
4/1/2002,-0.058155748,0.002934272,0.040028637,0.015237319,0.006367331,0.011069234,0.036959006,0.013738831,0.010960159,0.2592,0.001379
5/1/2002,-0.005933612,0.019309556,-0.031615031,0.005331034,-0.016436123,-0.043511313,0.001500564,0.013065814,-0.045516933,-0.08809,0.001405
6/1/2002,-0.077037885,0.001148088,-0.035486265,-0.032876416,-0.081423847,0.034172266,0.018629505,0.001623508,0.033055556,0.27127,0.001351
7/1/2002,-0.07881968,-0.047133036,-0.142752121,-0.095318513,-0.082774432,0.005783933,0.034651081,-0.000517205,0.005738485,0.26102,0.001347
8/1/2002,0.006801175,0.00361058,0.000858553,-0.009790167,0.015056229,0.060480245,0.055131505,0.025246757,0.057034551,0.01904,0.001318
9/1/2002,-0.108847222,-0.062837245,-0.083190495,-0.103578294,-0.120982873,0.04566473,0.038125857,0.018638198,0.043668364,0.21599,0.001288
10/1/2002,0.082283845,-0.040435107,0.020205728,0.038340477,0.0610065,-0.047184979,-0.040597324,-0.011715939,-0.049519329,-0.21542,0.001282
11/1/2002,0.061681054,0.048406521,0.076838702,0.056145628,0.064387054,-0.002172436,-0.013605445,0.012801309,-0.002153855,-0.11689,0.001135
12/1/2002,-0.061183228,-0.016789616,-0.050579001,-0.051628421,-0.034407661,0.085311119,0.035300953,0.028634427,0.078604377,0.04073,0.001054
1/1/2003,-0.024594874,-0.036869418,-0.025022426,-0.043025963,-0.004426622,0.089911928,-0.005758182,0.003236923,0.082480315,0.0891,0.001016
2/1/2003,-0.013478922,0.019341874,-0.030448165,-0.02110798,-0.028918006,0.121224797,0.027367746,0.019605113,0.108126495,-0.04941,0.000839
3/1/2003,-0.001884613,0.010014523,0.005692513,-0.023180669,-0.029394301,-0.144111502,-0.017353815,0.000717728,-0.168384615,-0.0162,0.000881
4/1/2003,0.084611824,0.036007855,0.092830275,0.101655616,0.081668613,-0.061371638,0.006186675,0.018163776,-0.065370011,-0.27238,0.0008
5/1/2003,0.054836178,0.062208722,0.101605838,0.064522731,0.091228136,0.095878885,0.057574083,0.030581018,0.087471333,-0.08204,0.000763
6/1/2003,0.007013928,0.002963841,0.007757965,0.019387958,0.041974391,0.002193617,-0.022198716,-0.002466772,0.002188837,0.00257,0.00071
7/1/2003,0.018027268,0.054964558,0.052099448,0.015141895,0.056713972,0.007121111,-0.103243276,-0.044540146,0.007087995,-0.00154,0.000681
8/1/2003,0.020625848,0.008403361,0.039541749,0.032924115,0.079873686,0.040862964,0.008438874,0.007771251,0.039245462,-0.04413,0.000642
9/1/2003,-0.01468854,0.015666707,-0.014859501,0.030201537,-0.006504865,-0.040836611,0.054632392,0.03375182,-0.042573719,0.21954,0.000624
10/1/2003,0.053526826,0.017394117,0.083285085,0.064957154,0.091811937,0.021907669,-0.034345939,-0.01076577,0.021447591,-0.29137,0.000642
11/1/2003,0.010921119,0.04344087,0.041972068,0.025280883,0.01879924,0.02558957,-0.000704369,0.004569682,0.024948663,0.01366,0.000614
12/1/2003,0.045373433,0.02298017,0.025575571,0.07068499,0.084193211,0.062449695,0.003758953,0.011023216,0.058783018,0.12194,0.000641
1/1/2004,0.019769991,0.040697099,0.034289179,0.011259103,0.024217626,0.003918894,0.01860742,0.010002964,0.003894753,-0.09175,0.000632
2/1/2004,0.013570614,0.018004072,0.022302528,0.022990196,0.039547346,0.074203735,0.018612164,0.012418216,0.069074204,-0.12508,0.000582
