Date,Commodity,FX,ILS,UCITS,Relative_Value,Multi_Strategy,Long_Short_Equity,Event_Driven,Distressed_Debt,CTA,Arbitrage,FOF,Commodityc%,FXc,ILSc,UCITSc,Relative_Valuec,Multi_Strategyc,Long_Short_Equityc,Event_Drivenc,Distressed_Debtc,CTAc,Arbitragec,FOFc
1/31/2000,1.639545026,1.58998085,6.01,6.01,0.98684175,1.510215718,1.494444807,1.775115702,1.724123486,2.065253454,1.704288155,1.213460825,1.01639545,1.015899809,1.0601,1.0601,1.009868418,1.015102157,1.014944448,1.017751157,1.017241235,1.020652535,1.017042882,1.012134608
2/29/2000,0.242272404,0.255870151,6.01,6.01,2.922503115,4.003619226,8.959600868,4.157600151,4.924963915,0.758871939,2.585052318,4.787054575,1.018857896,1.018499193,1.12381201,1.12381201,1.039381853,1.055742982,1.10587942,1.060065181,1.067339999,1.02839798,1.043333972,1.060586044
3/31/2000,2.568348681,0.002508378,6.01,6.01,3.4638361,0.748556405,2.904928985,1.931293097,0.32217437,-1.140620697,1.73041333,0.438126087,1.045025719,1.018524741,1.191353112,1.191353112,1.075384337,1.063645814,1.138004431,1.080538146,1.070778695,1.01666786,1.061387962,1.065232748
4/30/2000,-1.569687768,1.373221247,6.01,6.01,0.259004296,-0.690377133,-2.202983214,-0.857620154,-0.391876227,-0.86867439,1.299166766,-1.875993581,1.028622078,1.032511339,1.262953434,1.262953434,1.078169629,1.056302647,1.112934385,1.071271233,1.066582567,1.007836327,1.075177162,1.04524905
5/31/2000,4.959349628,1.212729301,6.01,6.01,0.909321152,-0.36872771,-0.633606071,-0.642679424,0.140820164,2.289641284,1.322617737,-0.318441642,1.079635044,1.045032906,1.338856935,1.338856935,1.087973653,1.052407766,1.105882765,1.064386394,1.068084531,1.030912163,1.089397646,1.041920542
6/30/2000,2.937843898,-1.252078568,6.01,6.01,2.207786117,2.493032899,3.679925716,2.426953703,2.512846763,-0.280400788,1.890051474,1.952475147,1.111353036,1.031948273,1.419322237,1.419322237,1.111993785,1.078644638,1.146578429,1.090218559,1.094923858,1.028021477,1.109987822,1.062263782
7/31/2000,0.005362844,1.02040326,6.01,6.01,0.237022854,0.656920045,0.331773382,0.891476218,2.033292453,-0.849700511,0.834843053,0.39543284,1.111412636,1.042478307,1.504623503,1.504623503,1.114629464,1.085730471,1.150382471,1.099937598,1.117186862,1.019286374,1.119254478,1.066464322
8/31/2000,1.920185166,1.463769202,6.01,6.01,2.461649825,2.520187473,4.812923717,2.313007371,2.389177589,3.817803123,1.598492898,2.144498189,1.132753817,1.057737784,1.595051376,1.595051376,1.142067738,1.113092914,1.205749502,1.125379235,1.143878441,1.058200721,1.137145682,1.08933463
9/30/2000,1.838162607,1.808426976,6.01,6.01,0.758180387,-0.291028974,-0.35055663,0.407189991,0.618264349,-0.764922373,1.235769987,-0.054857541,1.153575674,1.076866199,1.690913964,1.690913964,1.150726672,1.109853491,1.201522667,1.129961667,1.150950633,1.050106307,1.151198187,1.088737048
10/31/2000,-1.96175432,1.922279791,6.01,6.01,0.646035299,0.367777804,-0.657025257,-0.954348352,-1.122664651,1.568702774,0.530407147,-0.286431089,1.130945353,1.09756658,1.792537893,1.792537893,1.158160772,1.113935286,1.19362836,1.119177897,1.138029317,1.066579353,1.157304224,1.085618566
11/30/2000,2.341171906,1.210966836,6.01,6.01,-0.830548392,0.395444008,-2.470659602,-1.301262659,-2.852822804,4.960539576,0.252727056,-0.410942766,1.157422728,1.110857748,1.90026942,1.90026942,1.148541687,1.118340276,1.164137866,1.104614452,1.105563357,1.119487444,1.160229045,1.081157295
12/31/2000,8.64085801,6.349272846,6.01,6.01,2.22170724,3.293222075,2.806261156,1.588169297,0.784532899,8.302205125,1.071060165,1.623107715,1.257433982,1.181389137,2.014475612,2.014475612,1.174058921,1.155169705,1.196806615,1.1221576,1.114236866,1.212429588,1.172655796,1.098705643
1/31/2001,0.981374323,1.61037656,6.01,6.01,4.069339957,3.512234675,3.571428252,4.048503422,3.287626604,1.427403583,2.590572869,1.561702409,1.269774117,1.200413951,2.135545597,2.135545597,1.221835369,1.195741976,1.239549705,1.167588189,1.150868813,1.229735852,1.203034299,1.115864155
2/28/2001,0.044189642,0.583150931,6.01,6.01,0.053501676,0.239967476,-1.158369567,0.352711428,1.826595613,0.602623615,0.674256245,0.321108412,1.270335225,1.207414176,2.263891887,2.263891887,1.222489072,1.198611368,1.225191138,1.171706406,1.171890533,1.23714653,1.211145833,1.119447289
