caldt,crsp_fundno,mtna,mret,mnav
19810630,031417,0.100,,
19810731,031417,,R,1.0000000
19810831,031417,,0.014400,1.0000000
19810930,031417,129.900,0.012700,1.0000000
19811030,031417,,0.012400,1.0000000
19811130,031417,,0.010700,1.0000000
19811231,031417,292.600,0.009700,1.0000000
19820129,031417,T,0.009700,1.0000000
19820226,031417,T,0.009600,1.0000000
19820331,031417,T,0.011100,1.0000000
19820430,031417,T,0.011000,1.0000000
19820528,031417,T,0.011200,1.0000000
19820630,031417,T,0.010500,1.0000000
19820730,031417,T,0.010500,1.0000000
19820831,031417,T,0.008800,1.0000000
19820930,031417,T,0.007600,1.0000000
19821029,031417,T,0.007200,1.0000000
19821130,031417,T,0.006500,1.0000000
19821231,031417,513.000,0.006500,1.0000000
19830131,031417,T,0.006500,1.0000000
19830228,031417,T,0.006100,1.0000000
19830331,031417,T,0.006600,1.0000000
19830429,031417,T,0.006600,1.0000000
19830531,031417,T,0.006800,1.0000000
19830630,031417,T,0.006700,1.0000000
19830729,031417,T,0.007100,1.0000000
19830831,031417,T,0.007400,1.0000000
19830930,031417,T,0.007300,1.0000000
19831031,031417,T,0.007500,1.0000000
19831130,031417,T,0.007200,1.0000000
19831230,031417,359.000,0.007800,1.0000000
19840131,031417,T,0.007500,1.0000000
19840229,031417,T,0.007100,1.0000000
19840330,031417,T,0.007700,1.0000000
19840430,031417,T,0.007700,1.0000000
19840531,031417,T,0.008200,1.0000000
19840629,031417,T,0.008100,1.0000000
19840731,031417,T,0.008600,1.0000000
19840831,031417,T,0.008900,1.0000000
19840928,031417,T,0.008800,1.0000000
19841031,031417,T,0.009100,1.0000000
19841130,031417,T,0.008200,1.0000000
19841231,031417,467.000,0.007500,1.0000000
19850131,031417,T,0.007000,1.0000000
19850228,031417,T,0.006200,1.0000000
19850329,031417,T,0.007000,1.0000000
19850430,031417,T,0.006700,1.0000000
19850531,031417,T,0.006800,1.0000000
19850628,031417,T,0.006200,1.0000000
19850731,031417,T,0.006100,1.0000000
19850830,031417,T,0.006100,1.0000000
19850930,031417,T,0.005900,1.0000000
19851031,031417,T,0.006100,1.0000000
19851129,031417,T,0.005900,1.0000000
19851231,031417,493.000,0.006100,1.0000000
19860131,031417,T,0.006000,1.0000000
19860228,031417,T,0.005500,1.0000000
19860331,031417,T,0.005900,1.0000000
19860430,031417,T,0.005500,1.0000000
19860530,031417,T,0.005400,1.0000000
19860630,031417,T,0.005200,1.0000000
19860731,031417,T,0.005300,1.0000000
19860829,031417,T,0.005100,1.0000000
19860930,031417,T,0.004600,1.0000000
19861031,031417,T,0.004600,1.0000000
19861128,031417,T,0.004400,1.0000000
19861231,031417,550.000,0.004700,1.0000000
19870130,031417,T,0.004800,1.0000000
19870227,031417,T,0.004200,1.0000000
19870331,031417,T,0.004800,1.0000000
19870430,031417,T,0.004700,1.0000000
19870529,031417,T,0.005000,1.0000000
19870630,031417,628.325,0.005100,1.0000000
19870731,031417,T,0.005400,1.0000000
19870831,031417,T,0.005400,1.0000000
19870930,031417,698.138,0.005300,1.0000000
19871030,031417,T,0.005800,1.0000000
19871130,031417,T,0.005700,1.0000000
19871231,031417,853.148,0.005800,1.0000000
19880129,031417,T,0.005700,1.0000000
19880229,031417,T,0.005100,1.0000000
19880331,031417,1036.163,0.005400,1.0000000
19880429,031417,T,0.005200,1.0000000
19880531,031417,T,0.005500,1.0000000
